,Unnamed: 0,LONGITUDE,LATITUDE,DATE_START,DATE_END,FLAG,EQ_NUM,SURFSKINTEMP,SURFAIRTEMP,TOTH2OVAP,TOTO3,TOTCO,TOTCH4,OLR_ARIS,CLROLR_ARIS,OLR_NOAA,MODIS_LST,LABEL_PREDICTION
8219,Fold3.172921,-49.5,33.5,2013-05-24,2013-05-28,0,65,2,5,11,13,3,1,4,4,8,3,1
8220,Fold3.172931,-49.5,34.5,2013-04-29,2013-05-03,0,65,9,8,1,14,10,8,8,8,11,3,1
8221,Fold3.172941,-49.5,34.5,2013-05-04,2013-05-08,0,65,10,5,2,6,16,6,3,3,5,3,0
8222,Fold3.172951,-49.5,34.5,2013-05-09,2013-05-13,0,65,10,4,2,9,15,1,5,5,6,3,1
8223,Fold3.172961,-49.5,34.5,2013-05-14,2013-05-18,0,65,9,7,9,10,7,8,12,12,8,3,1
8224,Fold3.172971,-49.5,34.5,2013-05-19,2013-05-23,0,65,9,7,9,3,3,8,3,3,5,3,0
8225,Fold3.172981,-49.5,34.5,2013-05-24,2013-05-28,0,65,8,5,11,13,3,6,1,1,10,3,1
8226,Fold3.172991,-49.5,35.5,2013-04-29,2013-05-03,0,65,10,4,4,1,10,8,7,7,2,3,0
8227,Fold3.173001,-49.5,35.5,2013-05-04,2013-05-08,0,65,2,2,10,6,10,10,3,3,5,3,1
8228,Fold3.173011,-49.5,35.5,2013-05-09,2013-05-13,0,65,10,7,1,9,12,1,4,4,5,3,0
8229,Fold3.173021,-49.5,35.5,2013-05-14,2013-05-18,0,65,9,7,1,2,9,8,4,4,10,3,1
8230,Fold3.173031,-49.5,35.5,2013-05-19,2013-05-23,0,65,9,6,10,3,5,2,3,3,5,3,1
8231,Fold3.173041,-49.5,35.5,2013-05-24,2013-05-28,0,65,2,5,11,6,9,6,1,1,8,3,0
8232,Fold3.173051,-49.5,36.5,2013-04-29,2013-05-03,0,65,10,8,12,1,10,8,1,1,12,3,0
8233,Fold3.173061,-49.5,36.5,2013-05-04,2013-05-08,0,65,9,10,10,6,12,6,12,12,5,3,1
8234,Fold3.173071,-49.5,36.5,2013-05-09,2013-05-13,0,65,10,3,5,9,12,1,5,5,12,3,1
8235,Fold3.173081,-49.5,36.5,2013-05-14,2013-05-18,0,65,9,7,1,11,8,8,4,4,2,3,1
8236,Fold3.173091,-49.5,36.5,2013-05-19,2013-05-23,0,65,9,7,9,3,5,2,3,3,5,3,0
8237,Fold3.173101,-49.5,36.5,2013-05-24,2013-05-28,0,65,8,5,11,13,9,1,9,9,8,3,0
8238,Fold3.173111,-49.5,37.5,2013-04-29,2013-05-03,0,65,10,7,1,1,10,2,8,8,1,3,0
8239,Fold3.173121,-49.5,37.5,2013-05-04,2013-05-08,0,65,5,4,9,4,12,6,10,10,5,3,0
8240,Fold3.173131,-49.5,37.5,2013-05-09,2013-05-13,0,65,2,1,5,10,12,6,2,2,4,3,1
8241,Fold3.173141,-49.5,37.5,2013-05-14,2013-05-18,0,65,7,7,1,2,9,2,6,6,4,3,0
8242,Fold3.173151,-49.5,37.5,2013-05-19,2013-05-23,0,65,2,6,8,3,7,10,10,10,5,3,1
8243,Fold3.173161,-49.5,37.5,2013-05-24,2013-05-28,0,65,2,5,11,13,9,1,2,2,10,3,1
8244,Fold3.17497,-46.5,34.5,2006-11-12,2006-11-16,0,109,1,5,11,8,3,1,11,11,1,3,0
8245,Fold3.17498,-46.5,34.5,2006-11-17,2006-11-21,0,109,9,4,1,10,9,8,9,9,9,3,0
8246,Fold3.17499,-46.5,34.5,2006-11-22,2006-11-26,0,109,7,1,2,15,3,5,9,9,2,3,0
8247,Fold3.17500,-46.5,34.5,2006-11-27,2006-12-01,0,109,3,2,3,17,16,10,4,4,1,3,1
8248,Fold3.17501,-46.5,34.5,2006-12-02,2006-12-06,0,109,2,1,7,9,8,6,8,8,5,3,1
8249,Fold3.17502,-46.5,34.5,2006-12-07,2006-12-11,0,109,3,1,5,10,8,11,9,9,12,3,0
8250,Fold3.17503,-46.5,35.5,2006-11-12,2006-11-16,0,109,1,5,11,8,2,1,8,8,1,3,0
8251,Fold3.17504,-46.5,35.5,2006-11-17,2006-11-21,0,109,9,10,9,7,9,2,11,11,9,3,0
8252,Fold3.17505,-46.5,35.5,2006-11-22,2006-11-26,0,109,7,6,12,15,3,11,2,2,4,3,1
8253,Fold3.17506,-46.5,35.5,2006-11-27,2006-12-01,0,109,6,2,3,17,16,10,12,12,12,3,1
8254,Fold3.17507,-46.5,35.5,2006-12-02,2006-12-06,0,109,10,6,7,13,9,1,12,12,6,3,1
8255,Fold3.17508,-46.5,35.5,2006-12-07,2006-12-11,0,109,3,3,5,15,9,11,9,9,12,3,0
8256,Fold3.17509,-46.5,36.5,2006-11-12,2006-11-16,0,109,1,5,11,8,2,1,3,3,5,3,0
8257,Fold3.17510,-46.5,36.5,2006-11-17,2006-11-21,0,109,9,4,9,7,9,2,11,11,9,3,0
8258,Fold3.17511,-46.5,36.5,2006-11-22,2006-11-26,0,109,10,6,10,7,9,6,2,2,4,3,0
8259,Fold3.17512,-46.5,36.5,2006-11-27,2006-12-01,0,109,6,2,10,17,12,10,8,8,12,3,1
8260,Fold3.17513,-46.5,36.5,2006-12-02,2006-12-06,0,109,5,8,12,13,8,1,12,12,1,3,1
8261,Fold3.17514,-46.5,36.5,2006-12-07,2006-12-11,0,109,1,1,5,7,8,11,11,11,2,3,0
8262,Fold3.17515,-46.5,37.5,2006-11-12,2006-11-16,0,109,3,2,11,6,2,3,1,1,1,3,1
8263,Fold3.17516,-46.5,37.5,2006-11-17,2006-11-21,0,109,2,10,11,7,8,1,11,11,6,3,0
8264,Fold3.17517,-46.5,37.5,2006-11-22,2006-11-26,0,109,5,2,10,11,5,6,4,4,4,3,1
8265,Fold3.17518,-46.5,37.5,2006-11-27,2006-12-01,0,109,5,2,1,6,12,8,8,8,12,3,1
8266,Fold3.17519,-46.5,37.5,2006-12-02,2006-12-06,0,109,3,3,5,13,9,5,11,11,1,3,1
8267,Fold3.17520,-46.5,37.5,2006-12-07,2006-12-11,0,109,3,1,5,9,14,11,12,3,12,3,0
8268,Fold3.17521,-46.5,38.5,2006-11-12,2006-11-16,0,109,3,10,11,17,2,3,1,1,7,3,0
8269,Fold3.17522,-46.5,38.5,2006-11-17,2006-11-21,0,109,10,5,11,7,9,1,12,12,3,3,0
8270,Fold3.17523,-46.5,38.5,2006-11-22,2006-11-26,0,109,5,2,10,3,5,3,4,4,4,3,1
8271,Fold3.17524,-46.5,38.5,2006-11-27,2006-12-01,0,109,9,2,3,11,12,8,12,12,12,3,0
8272,Fold3.17525,-46.5,38.5,2006-12-02,2006-12-06,0,109,6,1,7,13,9,9,11,11,6,3,0
8273,Fold3.17526,-46.5,38.5,2006-12-07,2006-12-11,0,109,1,1,6,9,14,9,12,12,12,3,0
8274,Fold3.17527,-46.5,39.5,2006-11-12,2006-11-16,0,109,6,10,11,6,14,3,4,4,3,3,1
8275,Fold3.17528,-46.5,39.5,2006-11-17,2006-11-21,0,109,4,1,7,7,8,1,6,6,3,3,1
8276,Fold3.17529,-46.5,39.5,2006-11-22,2006-11-26,0,109,5,6,12,3,8,10,2,2,4,3,1
8277,Fold3.17530,-46.5,39.5,2006-11-27,2006-12-01,0,109,5,7,1,7,12,8,10,10,2,3,0
8278,Fold3.17531,-46.5,39.5,2006-12-02,2006-12-06,0,109,3,1,7,8,3,9,3,3,6,3,0
8279,Fold3.17532,-46.5,39.5,2006-12-07,2006-12-11,0,109,4,1,5,13,14,5,12,12,1,3,1
8280,Fold3.17533,-47.5,34.5,2006-11-12,2006-11-16,0,109,3,2,3,17,11,3,6,6,1,3,1
8281,Fold3.17534,-47.5,34.5,2006-11-17,2006-11-21,0,109,2,10,9,3,9,2,9,11,9,3,1
8282,Fold3.17535,-47.5,34.5,2006-11-22,2006-11-26,0,109,5,4,9,13,3,2,1,1,10,3,0
8283,Fold3.17536,-47.5,34.5,2006-11-27,2006-12-01,0,109,6,2,10,3,1,10,3,3,1,3,0
8284,Fold3.17537,-47.5,34.5,2006-12-02,2006-12-06,0,109,2,1,7,9,7,1,4,4,1,3,0
8285,Fold3.17538,-47.5,34.5,2006-12-07,2006-12-11,0,109,3,3,5,10,9,11,9,9,12,3,1
8286,Fold3.17539,-47.5,35.5,2006-11-12,2006-11-16,0,109,3,2,3,6,10,3,8,8,3,3,0
8287,Fold3.17540,-47.5,35.5,2006-11-17,2006-11-21,0,109,9,4,9,2,9,2,9,9,9,3,0
8288,Fold3.17541,-47.5,35.5,2006-11-22,2006-11-26,0,109,5,10,10,7,3,4,9,9,4,3,1
8289,Fold3.17542,-47.5,35.5,2006-11-27,2006-12-01,0,109,3,2,10,6,16,10,8,8,12,3,0
8290,Fold3.17543,-47.5,35.5,2006-12-02,2006-12-06,0,109,10,6,10,9,8,1,6,6,5,3,1
8291,Fold3.17544,-47.5,35.5,2006-12-07,2006-12-11,0,109,7,3,5,8,9,11,11,11,12,3,0
8292,Fold3.17545,-47.5,36.5,2006-11-12,2006-11-16,0,109,3,10,3,6,2,3,5,5,5,3,1
8293,Fold3.17546,-47.5,36.5,2006-11-17,2006-11-21,0,109,5,1,7,7,9,2,11,11,9,3,1
8294,Fold3.17547,-47.5,36.5,2006-11-22,2006-11-26,0,109,5,10,10,4,9,2,9,9,4,3,0
8295,Fold3.17548,-47.5,36.5,2006-11-27,2006-12-01,0,109,8,2,3,6,12,10,8,8,12,3,1
8296,Fold3.17549,-47.5,36.5,2006-12-02,2006-12-06,0,109,9,4,9,13,9,6,11,11,1,3,1
8297,Fold3.17550,-47.5,36.5,2006-12-07,2006-12-11,0,109,7,3,5,7,8,11,11,11,2,3,0
